age,job,marital,education,default,housing,loan,id
39,services,married,high.school,unknown,no,no,14254
31,admin.,divorced,university.degree,unknown,no,no,35513
38,self-employed,married,professional.course,no,no,no,35031
49,self-employed,divorced,unknown,unknown,yes,no,33114
34,admin.,single,high.school,no,yes,no,3189
36,services,married,high.school,no,yes,no,28112
48,admin.,divorced,university.degree,no,no,no,14928
40,entrepreneur,married,Basic,no,yes,no,16396
33,services,single,Basic,unknown,no,no,10872
43,entrepreneur,married,Basic,no,yes,no,8587
35,admin.,married,high.school,no,no,no,29451
36,admin.,single,university.degree,no,no,no,28354
35,unemployed,single,Basic,no,no,no,11636
41,admin.,married,university.degree,no,no,no,26244
42,housemaid,married,Basic,unknown,yes,no,19911
49,admin.,divorced,high.school,no,unknown,unknown,20013
47,blue-collar,married,Basic,no,no,no,4615
28,student,single,Basic,no,yes,no,32944
39,admin.,married,university.degree,no,no,no,29362
51,blue-collar,divorced,Basic,no,yes,no,36817
42,blue-collar,married,high.school,unknown,yes,no,27930
50,technician,married,high.school,no,yes,no,8792
34,management,single,university.degree,no,no,yes,15499
37,blue-collar,married,Basic,no,no,no,2528
33,admin.,divorced,high.school,no,no,no,37638
30,admin.,single,high.school,no,yes,yes,39223
39,admin.,single,high.school,no,yes,no,4049
41,admin.,divorced,university.degree,no,no,no,17447
34,blue-collar,single,university.degree,no,yes,yes,12242
45,entrepreneur,married,unknown,no,no,no,33690
28,admin.,single,university.degree,no,no,no,15989
56,services,married,high.school,unknown,no,yes,11380
33,admin.,married,university.degree,no,no,no,30272
57,blue-collar,married,unknown,unknown,yes,no,22124
36,services,single,high.school,unknown,yes,no,23292
50,admin.,single,high.school,no,yes,no,4704
31,services,divorced,high.school,no,no,no,37220
35,unemployed,divorced,high.school,unknown,yes,no,10989
40,blue-collar,married,Basic,unknown,yes,no,21992
32,admin.,married,university.degree,no,no,no,7069
39,self-employed,married,university.degree,no,no,no,30577
30,blue-collar,married,Basic,no,yes,yes,34903
27,services,single,high.school,no,no,no,13312
41,entrepreneur,married,Basic,no,no,yes,12646
68,retired,divorced,Basic,no,yes,no,38109
35,technician,married,high.school,unknown,no,no,6186
39,entrepreneur,married,university.degree,no,yes,no,40321
54,blue-collar,married,high.school,no,yes,yes,1011
59,retired,married,professional.course,unknown,no,no,37434
35,admin.,single,Basic,unknown,no,no,31023
24,services,single,unknown,no,no,no,5924
41,entrepreneur,divorced,unknown,no,no,no,15694
32,admin.,single,high.school,no,yes,yes,158
25,services,married,high.school,no,no,no,29819
36,unemployed,married,Basic,no,yes,no,29970
47,technician,married,Basic,no,yes,no,24909
31,services,single,high.school,no,yes,no,417
23,student,single,Basic,no,yes,yes,31762
29,student,married,university.degree,no,yes,no,38435
33,admin.,single,university.degree,no,no,no,22131
52,management,married,university.degree,no,no,no,25458
49,unemployed,married,high.school,unknown,no,no,27522
24,blue-collar,married,Basic,no,yes,yes,32910
56,technician,married,university.degree,unknown,yes,no,1254
60,retired,married,Basic,no,no,no,5045
35,technician,single,university.degree,no,no,no,12011
33,admin.,divorced,high.school,no,no,no,36039
28,blue-collar,married,Basic,unknown,no,yes,20688
48,technician,married,professional.course,no,no,no,38972
24,technician,married,high.school,unknown,no,no,7985
49,blue-collar,divorced,high.school,no,no,yes,4663
57,blue-collar,married,Basic,no,yes,no,26577
36,admin.,divorced,university.degree,no,yes,yes,24238
39,admin.,married,professional.course,no,yes,no,30875
29,blue-collar,single,high.school,no,yes,no,38381
51,blue-collar,married,Basic,no,no,no,655
44,technician,married,professional.course,no,yes,no,35985
34,technician,divorced,professional.course,no,yes,no,7073
45,admin.,divorced,university.degree,no,yes,no,29815
51,entrepreneur,divorced,university.degree,unknown,no,yes,31095
36,technician,married,professional.course,no,yes,no,36459
51,management,married,university.degree,unknown,no,yes,13765
38,admin.,single,university.degree,unknown,yes,yes,34531
57,technician,married,professional.course,no,yes,no,12493
43,blue-collar,single,unknown,unknown,no,no,26609
78,retired,married,Basic,no,yes,no,25577
26,admin.,single,high.school,no,yes,no,16077
44,admin.,married,professional.course,no,yes,no,38177
43,admin.,married,high.school,unknown,yes,no,16410
66,retired,married,Basic,no,yes,no,26161
47,technician,married,university.degree,no,yes,no,27970
59,technician,single,Basic,no,no,no,14189
56,management,married,university.degree,no,no,no,17642
40,management,married,university.degree,no,no,no,25703
59,self-employed,married,professional.course,unknown,no,no,17161
32,blue-collar,single,Basic,no,yes,yes,41131
32,blue-collar,married,professional.course,no,no,no,9969
53,technician,married,Basic,no,yes,no,5091
62,technician,married,unknown,no,no,no,25296
42,technician,divorced,professional.course,no,yes,no,6891
43,management,married,university.degree,no,unknown,unknown,36073
41,housemaid,married,Basic,no,no,no,33330
32,services,married,Basic,unknown,yes,no,6883
36,blue-collar,married,Basic,no,unknown,unknown,34245
37,management,married,university.degree,no,no,no,7342
36,admin.,married,university.degree,no,yes,no,24174
34,technician,married,university.degree,no,no,no,4570
43,services,married,Basic,no,no,no,38278
32,services,single,unknown,no,yes,no,11941
35,technician,married,professional.course,no,yes,no,34035
34,admin.,single,high.school,no,no,no,10511
35,admin.,married,Basic,no,no,no,41000
58,retired,married,professional.course,unknown,no,no,1238
43,management,married,university.degree,unknown,no,no,38021
32,services,married,high.school,unknown,yes,no,3547
43,blue-collar,married,high.school,no,no,no,1342
49,blue-collar,married,Basic,no,no,no,14821
55,retired,divorced,Basic,unknown,no,no,35261
37,blue-collar,married,unknown,no,no,no,5323
46,entrepreneur,single,university.degree,no,yes,yes,22116
27,blue-collar,married,Basic,no,yes,no,12213
49,blue-collar,married,Basic,unknown,yes,no,39220
44,management,married,unknown,no,yes,no,4234
37,technician,married,professional.course,no,no,no,22769
60,management,married,university.degree,unknown,yes,no,2585
36,unemployed,married,university.degree,no,no,no,28358
48,blue-collar,married,Basic,no,no,no,2617
36,admin.,married,high.school,no,no,no,28519
29,technician,single,university.degree,no,no,yes,34910
54,blue-collar,married,high.school,no,no,no,912
31,technician,single,university.degree,no,yes,no,27150
47,blue-collar,single,Basic,unknown,yes,no,23903
46,technician,married,university.degree,no,yes,no,36952
47,technician,divorced,high.school,no,no,yes,31343
69,entrepreneur,married,high.school,no,no,no,37358
59,entrepreneur,divorced,high.school,unknown,yes,no,26249
45,blue-collar,divorced,Basic,no,no,no,15957
32,blue-collar,married,professional.course,no,yes,no,17477
39,management,single,university.degree,no,no,no,32358
53,admin.,married,high.school,no,yes,no,26084
57,retired,single,professional.course,no,no,no,25032
32,entrepreneur,single,professional.course,no,yes,no,9497
26,admin.,single,high.school,no,no,no,6756
48,blue-collar,married,Basic,no,no,yes,4648
39,blue-collar,married,Basic,no,yes,no,38822
53,technician,married,professional.course,no,yes,no,14063
30,admin.,single,university.degree,no,no,no,31848
36,admin.,married,university.degree,no,yes,no,25876
49,blue-collar,single,Basic,no,no,no,29162
33,admin.,married,high.school,no,yes,no,4075
28,technician,married,professional.course,no,yes,no,5714
38,blue-collar,married,professional.course,no,no,no,25449
52,entrepreneur,married,high.school,no,yes,no,25928
60,retired,married,professional.course,no,yes,no,12791
29,admin.,married,Basic,no,no,no,38358
37,blue-collar,married,Basic,unknown,no,no,13516
36,services,married,high.school,unknown,yes,no,14717
31,services,married,high.school,no,yes,no,6418
37,admin.,married,university.degree,unknown,yes,no,23967
30,blue-collar,married,Basic,no,yes,no,16862
53,technician,married,professional.course,unknown,yes,no,19867
54,technician,married,professional.course,unknown,yes,no,35191
43,unknown,married,high.school,unknown,yes,yes,15941
59,admin.,divorced,professional.course,unknown,yes,no,4085
33,blue-collar,married,high.school,unknown,yes,no,14492
48,blue-collar,married,Basic,no,no,no,33898
39,blue-collar,married,Basic,no,yes,no,10468
29,management,single,university.degree,no,no,no,26847
51,blue-collar,married,Basic,no,no,no,1256
40,technician,married,professional.course,no,yes,no,17484
47,admin.,single,university.degree,no,yes,no,25466
30,unemployed,married,Basic,no,yes,no,28550
34,admin.,unknown,university.degree,no,no,no,12411
28,student,single,Basic,no,no,yes,31104
31,blue-collar,married,Basic,unknown,no,no,31399
35,technician,married,professional.course,no,unknown,unknown,9576
36,blue-collar,married,Basic,no,yes,yes,6612
39,admin.,married,university.degree,no,yes,no,2803
47,entrepreneur,married,professional.course,unknown,yes,no,34990
41,entrepreneur,single,professional.course,no,yes,no,31516
45,technician,single,professional.course,no,yes,no,35187
28,admin.,married,high.school,no,no,no,4285
43,blue-collar,married,Basic,no,no,no,31616
40,blue-collar,married,Basic,unknown,no,no,16183
55,technician,married,university.degree,no,yes,no,7868
33,self-employed,single,university.degree,no,no,no,19807
40,admin.,single,university.degree,no,no,no,32443
36,technician,married,professional.course,no,no,yes,21245
29,admin.,single,high.school,no,no,no,34338
36,management,married,university.degree,no,no,no,26183
39,blue-collar,married,Basic,no,yes,no,23053
38,admin.,married,high.school,no,yes,no,22096
42,blue-collar,married,Basic,no,yes,no,2227
35,admin.,single,university.degree,no,yes,no,2852
31,admin.,married,university.degree,no,no,no,34354
34,entrepreneur,single,university.degree,no,yes,no,37609
47,management,married,high.school,no,no,no,32315
29,admin.,single,university.degree,no,yes,no,23443
32,admin.,married,high.school,no,no,no,14666
31,admin.,single,university.degree,no,no,yes,29401
36,management,divorced,university.degree,no,no,no,18210
59,blue-collar,married,Basic,unknown,no,no,29781
55,technician,married,Basic,unknown,yes,no,2251
48,technician,divorced,professional.course,no,yes,no,24061
53,blue-collar,married,Basic,unknown,unknown,unknown,8818
43,services,married,Basic,unknown,no,no,14708
30,services,single,high.school,no,yes,no,38158
43,technician,single,professional.course,no,yes,yes,20930
44,technician,divorced,professional.course,no,yes,no,27016
46,blue-collar,married,high.school,no,no,no,32716
32,technician,married,professional.course,no,yes,no,18010
39,admin.,married,university.degree,no,yes,no,14034
48,management,married,university.degree,no,no,no,27298
36,technician,single,university.degree,no,no,no,4825
38,technician,married,professional.course,no,yes,no,8751
47,entrepreneur,married,unknown,unknown,yes,no,35876
30,technician,single,university.degree,no,yes,no,12217
34,admin.,divorced,high.school,no,no,no,37685
42,technician,married,high.school,unknown,no,no,188
37,unemployed,married,university.degree,unknown,no,no,30965
48,entrepreneur,married,university.degree,no,yes,no,31293
38,technician,married,university.degree,no,no,no,6130
31,admin.,single,university.degree,no,yes,no,19922
47,unknown,married,unknown,unknown,yes,no,15325
53,self-employed,married,Basic,no,yes,yes,10774
37,blue-collar,married,Basic,no,unknown,unknown,22559
39,admin.,single,university.degree,no,no,no,37551
52,technician,married,professional.course,no,no,no,28210
38,blue-collar,single,Basic,unknown,yes,no,33410
37,technician,married,professional.course,no,yes,no,5573
57,admin.,single,high.school,no,unknown,unknown,30952
38,admin.,single,high.school,unknown,yes,no,36693
41,admin.,married,university.degree,no,no,no,12166
27,admin.,single,Basic,no,yes,no,37857
53,admin.,single,high.school,no,no,no,17357
56,management,married,university.degree,no,yes,no,3961
35,admin.,divorced,high.school,no,yes,no,26550
38,technician,single,university.degree,unknown,yes,no,15308
63,retired,married,professional.course,no,yes,yes,21040
70,retired,divorced,Basic,no,no,no,33008
41,blue-collar,single,Basic,no,yes,no,5955
69,retired,married,university.degree,no,yes,no,28714
44,blue-collar,married,Basic,unknown,no,no,19436
25,services,married,high.school,no,yes,no,1863
35,admin.,married,high.school,unknown,no,yes,32832
50,technician,married,professional.course,no,yes,no,29148
37,services,married,high.school,no,no,no,18541
29,admin.,single,university.degree,unknown,no,no,20025
39,entrepreneur,married,Basic,no,no,no,4140
37,admin.,single,professional.course,no,no,no,39951
35,services,married,high.school,unknown,yes,yes,8330
36,technician,married,university.degree,no,yes,no,37242
33,services,married,high.school,no,no,no,27784
25,blue-collar,single,Basic,no,no,no,9624
33,services,married,Basic,no,unknown,unknown,24820
44,services,married,high.school,unknown,unknown,unknown,14000
39,services,married,high.school,no,yes,no,4528
45,services,married,professional.course,no,yes,yes,36590
42,technician,married,university.degree,no,no,no,35989
40,blue-collar,married,Basic,unknown,yes,no,30331
32,admin.,married,university.degree,no,yes,no,39238
41,blue-collar,married,Basic,no,yes,no,23679
40,retired,married,professional.course,no,yes,no,20816
41,management,married,university.degree,no,yes,no,14675
53,entrepreneur,married,Basic,unknown,yes,no,21207
48,services,married,high.school,no,no,no,21660
49,blue-collar,married,Basic,unknown,no,no,18865
40,blue-collar,married,Basic,unknown,yes,no,9734
46,admin.,married,high.school,no,no,no,21362
52,technician,married,high.school,no,yes,yes,21257
22,services,single,professional.course,no,no,no,28341
54,services,married,Basic,unknown,yes,no,29598
36,technician,single,professional.course,no,yes,no,18435
41,entrepreneur,single,high.school,no,no,no,19342
31,admin.,married,university.degree,unknown,yes,no,12113
29,admin.,single,high.school,no,no,yes,21572
56,housemaid,divorced,Basic,unknown,no,no,11150
32,admin.,single,high.school,no,yes,no,21131
31,management,single,university.degree,no,no,no,2841
56,retired,married,high.school,no,yes,yes,13864
36,technician,married,professional.course,no,no,no,35315
19,student,single,Basic,no,no,no,9484
32,services,married,high.school,unknown,yes,no,39616
49,admin.,single,high.school,no,no,no,8357
55,management,married,university.degree,no,no,no,2391
46,admin.,divorced,university.degree,no,yes,no,24065
46,services,divorced,high.school,no,no,no,40499
38,admin.,divorced,university.degree,no,yes,no,27157
40,services,divorced,high.school,no,yes,no,22731
33,admin.,single,high.school,unknown,yes,no,21299
38,technician,married,professional.course,no,yes,no,28473
36,management,single,Basic,no,no,no,30268
54,technician,married,university.degree,no,yes,no,9099
54,blue-collar,married,Basic,no,no,no,2563
36,technician,single,university.degree,no,yes,no,1700
31,admin.,single,professional.course,no,no,no,20624
43,admin.,married,high.school,no,yes,no,7677
57,management,married,university.degree,no,no,no,38526
30,blue-collar,married,Basic,no,no,no,16954
28,services,single,high.school,no,yes,no,10445
46,blue-collar,married,Basic,unknown,yes,no,38906
52,blue-collar,unknown,Basic,no,unknown,unknown,13410
32,admin.,single,university.degree,no,no,no,1657
41,services,single,high.school,no,no,no,12544
50,housemaid,married,unknown,no,yes,no,21604
32,blue-collar,married,Basic,no,no,no,24590
34,management,married,university.degree,no,no,yes,40315
31,admin.,married,university.degree,unknown,no,no,13934
56,self-employed,married,university.degree,no,no,no,26806
57,technician,married,Basic,no,no,no,13502
38,blue-collar,divorced,Basic,no,yes,no,14418
29,blue-collar,married,high.school,no,no,no,38885
40,admin.,single,high.school,unknown,no,yes,10295
27,admin.,married,university.degree,no,no,no,38196
28,blue-collar,single,Basic,no,no,no,17186
42,management,single,university.degree,no,yes,no,2570
74,retired,divorced,Basic,no,yes,no,27415
40,blue-collar,married,Basic,no,no,no,39289
53,technician,divorced,professional.course,no,no,no,26886
34,technician,married,professional.course,no,yes,no,38850
28,technician,married,Basic,no,no,no,28168
47,blue-collar,married,Basic,no,yes,no,35489
51,technician,married,professional.course,no,yes,yes,9764
44,admin.,married,university.degree,no,no,no,17851
28,management,married,high.school,unknown,yes,no,14423
38,services,married,high.school,no,yes,no,35834
47,housemaid,divorced,Basic,no,yes,no,27138
36,blue-collar,married,Basic,no,no,no,35988
31,services,single,high.school,no,no,no,33558
32,blue-collar,married,Basic,no,yes,no,23034
37,admin.,single,university.degree,no,no,no,34855
32,blue-collar,single,Basic,no,yes,no,1164
59,retired,married,Basic,unknown,no,no,6904
29,technician,single,university.degree,no,yes,yes,5232
40,technician,married,professional.course,no,no,no,40690
27,admin.,single,professional.course,no,yes,no,19441
47,unemployed,married,high.school,no,no,no,17485
36,blue-collar,married,Basic,unknown,no,no,26081
38,admin.,single,professional.course,no,no,no,15122
49,management,married,university.degree,no,yes,yes,32080
27,blue-collar,single,Basic,no,no,yes,21424
58,management,single,professional.course,no,no,no,31524
26,blue-collar,married,Basic,unknown,yes,no,3633
41,self-employed,married,Basic,unknown,no,no,37670
50,technician,married,high.school,unknown,no,no,11978
37,management,married,Basic,no,no,no,32984
52,housemaid,married,university.degree,no,yes,no,24492
34,blue-collar,married,Basic,unknown,yes,no,3951
42,entrepreneur,single,university.degree,no,no,no,16559
48,admin.,single,university.degree,no,no,no,2332
25,admin.,single,university.degree,no,no,yes,30901
32,technician,married,professional.course,no,no,no,12806
37,technician,married,professional.course,unknown,no,no,12377
49,unknown,unknown,unknown,unknown,yes,yes,18588
31,technician,single,professional.course,unknown,no,yes,23987
34,technician,married,professional.course,no,yes,no,12147
51,management,married,university.degree,no,no,no,41003
30,admin.,single,university.degree,no,yes,yes,12941
38,entrepreneur,married,professional.course,no,no,yes,40878
32,technician,married,university.degree,no,yes,no,22981
36,services,married,high.school,no,no,no,3235
34,unknown,divorced,Basic,no,no,no,796
27,blue-collar,married,Basic,no,no,yes,29696
47,admin.,married,high.school,no,yes,no,5806
50,blue-collar,married,Basic,no,yes,no,18419
35,admin.,single,high.school,no,yes,yes,31109
55,unemployed,divorced,professional.course,no,no,no,32690
33,admin.,married,high.school,no,no,yes,28866
38,admin.,married,Basic,no,yes,no,22659
35,unemployed,divorced,university.degree,no,no,no,7753
47,technician,married,professional.course,no,yes,no,10668
34,admin.,married,university.degree,unknown,yes,no,23109
31,technician,divorced,high.school,no,yes,no,20882
28,admin.,single,university.degree,no,no,yes,18982
54,blue-collar,married,Basic,no,no,no,17658
32,admin.,single,university.degree,unknown,yes,no,9925
32,admin.,married,university.degree,unknown,yes,no,25442
31,admin.,married,university.degree,no,yes,no,32595
31,admin.,married,university.degree,no,no,no,3221
21,student,single,unknown,no,no,no,26064
48,blue-collar,married,Basic,no,yes,no,32246
33,technician,married,professional.course,no,no,no,26707
32,admin.,single,university.degree,no,no,no,37253
48,blue-collar,married,Basic,no,no,no,18756
37,admin.,married,high.school,no,yes,no,23696
52,blue-collar,married,Basic,unknown,no,no,34602
56,blue-collar,married,Basic,unknown,no,yes,20044
29,admin.,divorced,university.degree,no,no,no,8200
33,technician,single,Basic,no,no,no,17598
34,admin.,married,university.degree,no,yes,no,10417
37,admin.,single,university.degree,no,no,no,36492
29,admin.,single,high.school,no,yes,no,11684
33,unemployed,married,high.school,unknown,unknown,unknown,36649
42,blue-collar,single,unknown,no,no,no,5968
56,retired,married,high.school,unknown,yes,yes,21543
47,blue-collar,married,Basic,no,yes,no,15365
59,retired,married,high.school,no,unknown,unknown,17344
45,housemaid,married,professional.course,unknown,yes,no,39802
31,technician,single,university.degree,no,no,no,2354
42,admin.,married,university.degree,no,no,no,33677
37,blue-collar,married,Basic,no,yes,no,664
41,admin.,married,university.degree,no,no,no,31046
38,blue-collar,married,Basic,unknown,no,no,8318
59,retired,married,unknown,unknown,no,no,32745
32,blue-collar,married,Basic,no,yes,no,1644
52,blue-collar,married,Basic,unknown,no,no,11954
56,unemployed,divorced,Basic,no,no,yes,12339
46,entrepreneur,married,university.degree,unknown,no,no,31911
40,blue-collar,married,Basic,no,yes,no,20852
58,services,married,high.school,unknown,no,no,16204
35,technician,married,university.degree,no,no,yes,2897
23,blue-collar,single,Basic,unknown,no,yes,34131
49,admin.,divorced,university.degree,no,no,no,19518
31,unemployed,married,university.degree,no,no,no,20635
45,services,married,Basic,unknown,no,no,13342
68,retired,married,university.degree,no,yes,yes,21067
30,admin.,married,university.degree,no,yes,no,2090
48,technician,married,high.school,no,no,yes,19913
33,admin.,married,university.degree,no,yes,no,3137
45,housemaid,married,high.school,no,no,no,12432
50,blue-collar,divorced,Basic,no,no,no,20862
38,technician,married,professional.course,no,yes,no,19835
34,technician,married,professional.course,no,yes,no,35887
38,unknown,married,unknown,unknown,no,no,6293
56,retired,divorced,Basic,no,no,no,38004
35,blue-collar,married,Basic,no,yes,no,37160
46,blue-collar,married,Basic,no,no,no,38457
42,blue-collar,married,Basic,no,yes,no,37952
35,management,married,Basic,no,yes,no,22390
36,housemaid,divorced,Basic,unknown,no,no,4952
45,admin.,married,Basic,unknown,no,no,450
57,technician,divorced,professional.course,no,yes,yes,37206
43,management,divorced,university.degree,no,yes,no,31375
29,admin.,single,high.school,no,yes,no,25579
35,admin.,single,high.school,no,yes,no,30348
32,admin.,married,high.school,no,no,no,1468
44,admin.,single,professional.course,unknown,no,no,29829
45,blue-collar,married,unknown,no,no,no,2520
40,technician,married,university.degree,no,yes,no,41147
44,blue-collar,married,Basic,no,yes,no,19529
52,technician,divorced,high.school,no,no,yes,1012
30,services,married,high.school,no,yes,no,11117
34,admin.,single,university.degree,no,yes,no,6416
29,admin.,single,Basic,no,yes,no,40082
46,blue-collar,divorced,Basic,no,no,no,35146
29,self-employed,single,professional.course,no,yes,no,37422
46,housemaid,divorced,Basic,unknown,yes,no,27519
56,technician,married,professional.course,no,no,no,23797
30,self-employed,single,university.degree,no,no,no,29629
42,technician,married,professional.course,unknown,no,no,16238
40,services,single,high.school,no,no,no,35068
30,technician,married,professional.course,no,yes,no,10238
28,admin.,single,university.degree,no,yes,no,15481
47,blue-collar,married,Basic,no,yes,yes,39845
52,technician,married,Basic,no,no,no,9738
30,admin.,divorced,university.degree,no,no,no,3478
38,technician,married,university.degree,no,yes,no,21294
55,retired,divorced,Basic,no,no,no,30339
48,blue-collar,married,professional.course,no,no,yes,25760
38,blue-collar,single,Basic,no,no,yes,27429
56,management,married,university.degree,unknown,yes,yes,10606
36,admin.,married,high.school,no,no,yes,18889
43,blue-collar,single,Basic,no,yes,no,13310
57,blue-collar,married,professional.course,no,no,no,28914
34,blue-collar,married,Basic,no,yes,no,18885
32,services,single,Basic,no,yes,no,31691
29,blue-collar,divorced,Basic,unknown,no,no,30290
33,services,married,high.school,no,no,yes,27568
58,entrepreneur,married,high.school,no,no,no,40489
49,technician,married,professional.course,no,yes,no,3952
32,admin.,married,high.school,no,yes,no,13417
35,technician,married,university.degree,no,no,no,1255
35,student,single,university.degree,unknown,no,no,27126
32,blue-collar,married,Basic,unknown,yes,no,39112
36,admin.,married,university.degree,no,yes,no,12996
29,blue-collar,married,Basic,unknown,yes,yes,13244
38,services,married,high.school,no,no,no,30108
36,technician,single,professional.course,no,yes,yes,21657
43,technician,married,professional.course,no,yes,no,25974
31,services,single,high.school,no,no,yes,7376
43,blue-collar,married,Basic,no,no,no,30558
36,blue-collar,married,Basic,no,yes,yes,21625
57,retired,married,university.degree,no,no,no,31536
43,admin.,divorced,university.degree,no,no,yes,3607
37,blue-collar,single,Basic,unknown,unknown,unknown,989
29,technician,single,high.school,no,no,yes,28460
58,retired,married,Basic,unknown,yes,no,31846
34,admin.,single,university.degree,no,yes,no,28784
30,technician,single,professional.course,no,yes,no,40267
30,admin.,married,university.degree,no,yes,no,31461
42,blue-collar,single,Basic,no,unknown,unknown,8815
32,admin.,married,high.school,no,unknown,unknown,24419
37,admin.,single,high.school,no,yes,yes,37565
47,management,married,Basic,unknown,unknown,unknown,38909
45,housemaid,married,professional.course,unknown,no,no,11299
20,student,single,high.school,no,no,yes,11775
32,admin.,married,university.degree,no,yes,no,10082
38,admin.,married,high.school,unknown,no,no,12395
