contact,month,day_of_week,campaign,pdays,previous,poutcome,id
cellular,may,tue,1,999,0,nonexistent,21416
cellular,aug,fri,3,999,0,nonexistent,1721
cellular,may,wed,1,999,1,failure,18894
cellular,nov,tue,2,999,0,nonexistent,14818
cellular,may,wed,2,999,0,nonexistent,33533
telephone,may,fri,1,999,0,nonexistent,36919
cellular,aug,mon,6,999,0,nonexistent,10569
telephone,may,wed,1,999,0,nonexistent,8681
cellular,jun,mon,4,999,0,nonexistent,5401
cellular,nov,thu,1,999,0,nonexistent,13277
cellular,aug,thu,1,999,0,nonexistent,15597
cellular,aug,thu,1,999,0,nonexistent,33556
cellular,sep,wed,2,999,0,nonexistent,8526
cellular,aug,mon,3,999,0,nonexistent,17190
cellular,aug,fri,1,999,1,failure,21025
cellular,may,mon,3,999,0,nonexistent,34917
cellular,nov,thu,1,999,0,nonexistent,21944
telephone,may,fri,2,999,0,nonexistent,7170
cellular,jul,thu,6,999,0,nonexistent,30861
cellular,jul,mon,5,999,0,nonexistent,16491
telephone,jun,fri,2,999,0,nonexistent,1474
cellular,jul,tue,2,999,1,failure,14878
cellular,nov,fri,2,999,1,failure,27709
cellular,aug,fri,3,999,0,nonexistent,25955
telephone,may,wed,1,999,0,nonexistent,28181
cellular,nov,mon,2,999,0,nonexistent,22299
cellular,may,wed,1,999,0,nonexistent,32661
telephone,may,mon,1,999,0,nonexistent,7386
cellular,jul,thu,1,999,0,nonexistent,13379
cellular,apr,thu,4,999,0,nonexistent,25301
cellular,aug,wed,2,999,0,nonexistent,12946
cellular,oct,mon,1,999,0,nonexistent,2905
cellular,aug,thu,1,999,2,failure,6190
cellular,sep,tue,1,999,1,failure,29374
telephone,jun,tue,1,999,0,nonexistent,18818
telephone,may,thu,1,999,0,nonexistent,8588
telephone,may,mon,1,999,0,nonexistent,17392
cellular,aug,fri,2,2,1,success,4188
cellular,jul,wed,2,999,0,nonexistent,19717
telephone,may,thu,2,999,0,nonexistent,34238
telephone,may,wed,1,999,0,nonexistent,11770
cellular,aug,tue,5,999,0,nonexistent,36608
cellular,aug,mon,3,999,0,nonexistent,11225
cellular,nov,thu,3,999,0,nonexistent,40158
cellular,may,wed,1,999,0,nonexistent,24593
telephone,may,mon,2,999,0,nonexistent,36980
cellular,apr,mon,2,999,0,nonexistent,530
cellular,jul,tue,3,999,0,nonexistent,16172
telephone,jun,mon,2,999,0,nonexistent,22726
telephone,jun,thu,12,999,0,nonexistent,28280
telephone,may,mon,3,999,0,nonexistent,24227
cellular,aug,fri,1,999,0,nonexistent,16393
cellular,aug,wed,1,999,0,nonexistent,22988
telephone,may,thu,1,999,0,nonexistent,36120
cellular,may,thu,1,999,0,nonexistent,4517
telephone,jun,fri,2,999,0,nonexistent,37139
telephone,jun,mon,2,999,0,nonexistent,23239
cellular,nov,thu,2,999,1,failure,33068
telephone,may,mon,2,999,0,nonexistent,11367
telephone,may,wed,1,999,0,nonexistent,380
telephone,may,mon,8,999,0,nonexistent,18936
cellular,apr,wed,1,999,0,nonexistent,8163
telephone,jun,wed,1,999,0,nonexistent,6093
cellular,aug,tue,4,999,0,nonexistent,2377
telephone,may,wed,1,999,0,nonexistent,9437
cellular,jul,mon,1,999,0,nonexistent,12352
cellular,jul,tue,6,13,1,success,30173
telephone,may,wed,3,999,0,nonexistent,20017
telephone,jun,wed,3,999,0,nonexistent,21775
telephone,jun,fri,3,999,0,nonexistent,39770
cellular,jul,mon,7,999,0,nonexistent,19558
cellular,nov,fri,1,999,0,nonexistent,32973
telephone,jun,tue,3,999,0,nonexistent,20680
cellular,aug,thu,10,999,0,nonexistent,33182
telephone,may,mon,3,999,0,nonexistent,37229
cellular,aug,wed,1,999,0,nonexistent,32567
telephone,may,wed,1,999,0,nonexistent,35939
cellular,aug,wed,1,999,0,nonexistent,36852
telephone,may,thu,4,999,0,nonexistent,35124
telephone,jul,thu,12,999,0,nonexistent,32872
cellular,may,tue,2,999,0,nonexistent,12705
cellular,aug,mon,2,999,0,nonexistent,12123
cellular,apr,fri,3,999,0,nonexistent,1253
telephone,may,mon,2,999,0,nonexistent,3571
telephone,jun,mon,3,999,0,nonexistent,30959
telephone,jun,tue,18,999,0,nonexistent,39829
cellular,jul,tue,2,999,0,nonexistent,7860
cellular,may,wed,1,999,0,nonexistent,13754
cellular,jul,thu,1,999,0,nonexistent,12565
cellular,jul,thu,2,999,0,nonexistent,6770
telephone,may,fri,4,999,0,nonexistent,17989
telephone,jun,fri,14,999,0,nonexistent,2425
cellular,may,fri,1,999,0,nonexistent,20190
telephone,may,thu,2,999,0,nonexistent,7396
cellular,aug,thu,3,999,0,nonexistent,40663
cellular,apr,mon,3,999,1,failure,31406
cellular,jul,thu,2,999,0,nonexistent,25966
telephone,jul,mon,6,999,0,nonexistent,3705
cellular,nov,tue,4,999,0,nonexistent,3906
cellular,aug,tue,1,999,0,nonexistent,39916
cellular,apr,fri,1,999,0,nonexistent,8455
telephone,nov,tue,1,999,0,nonexistent,14299
cellular,nov,tue,1,999,0,nonexistent,19506
cellular,apr,fri,1,999,0,nonexistent,20239
cellular,nov,tue,1,999,0,nonexistent,25497
cellular,may,mon,3,999,0,nonexistent,13939
telephone,jul,mon,11,999,0,nonexistent,19105
cellular,jul,mon,2,999,0,nonexistent,23840
cellular,jul,tue,2,6,1,success,1715
cellular,may,fri,2,999,1,failure,30502
cellular,jun,tue,1,999,0,nonexistent,28928
cellular,nov,fri,2,999,0,nonexistent,31396
telephone,may,fri,2,999,0,nonexistent,9571
telephone,may,wed,8,999,0,nonexistent,40236
cellular,jul,tue,1,999,0,nonexistent,39111
cellular,aug,tue,3,999,0,nonexistent,26440
cellular,may,fri,2,999,0,nonexistent,29703
cellular,aug,wed,1,999,0,nonexistent,33438
cellular,may,fri,2,999,0,nonexistent,7720
cellular,may,mon,6,999,0,nonexistent,17011
telephone,jun,mon,5,999,0,nonexistent,40692
telephone,jul,thu,27,999,0,nonexistent,37321
telephone,nov,wed,5,999,1,failure,4078
telephone,may,mon,4,999,0,nonexistent,19634
telephone,may,fri,3,999,0,nonexistent,13294
telephone,may,mon,1,999,0,nonexistent,14694
telephone,jul,tue,1,999,0,nonexistent,24444
cellular,apr,thu,1,999,0,nonexistent,8116
cellular,nov,wed,1,999,0,nonexistent,9082
cellular,jul,fri,1,999,0,nonexistent,7587
telephone,may,wed,1,999,0,nonexistent,29909
cellular,jul,tue,2,999,0,nonexistent,32820
cellular,may,mon,3,999,0,nonexistent,36675
telephone,jun,fri,2,999,0,nonexistent,23391
telephone,jun,mon,5,999,0,nonexistent,40312
cellular,apr,thu,1,999,0,nonexistent,11598
telephone,jun,wed,4,999,0,nonexistent,27812
telephone,nov,mon,2,999,0,nonexistent,38039
cellular,jul,tue,1,999,0,nonexistent,19537
telephone,may,thu,11,999,0,nonexistent,15491
cellular,aug,fri,7,999,0,nonexistent,37974
cellular,may,mon,1,999,0,nonexistent,11735
telephone,jun,fri,2,999,0,nonexistent,18831
telephone,jun,tue,1,999,0,nonexistent,35326
cellular,aug,wed,1,999,0,nonexistent,31903
telephone,may,mon,4,999,0,nonexistent,7782
cellular,may,thu,1,999,1,failure,37592
cellular,may,wed,1,3,1,success,27317
cellular,aug,thu,3,999,0,nonexistent,17086
cellular,jul,thu,1,999,0,nonexistent,28926
cellular,aug,mon,3,999,0,nonexistent,28731
cellular,dec,thu,2,6,1,success,41111
telephone,jun,mon,1,999,0,nonexistent,3723
cellular,jul,tue,2,999,0,nonexistent,34840
cellular,aug,thu,1,999,0,nonexistent,25811
telephone,nov,thu,1,999,0,nonexistent,3754
cellular,may,tue,2,999,0,nonexistent,11113
cellular,jul,wed,3,999,0,nonexistent,36741
telephone,may,mon,1,999,0,nonexistent,2656
cellular,may,wed,3,999,0,nonexistent,435
telephone,jun,fri,4,999,0,nonexistent,31855
cellular,jul,thu,5,999,0,nonexistent,25380
cellular,may,wed,2,999,1,failure,20941
cellular,may,mon,3,999,0,nonexistent,11057
telephone,jun,thu,2,999,0,nonexistent,16943
telephone,may,thu,2,999,0,nonexistent,30712
cellular,jul,thu,1,999,0,nonexistent,2445
telephone,may,tue,2,999,0,nonexistent,19712
cellular,aug,mon,2,999,0,nonexistent,33337
cellular,aug,fri,1,999,0,nonexistent,27310
telephone,jun,mon,9,999,0,nonexistent,4727
telephone,oct,tue,1,999,0,nonexistent,25590
cellular,nov,mon,1,3,3,success,28588
telephone,jun,thu,8,999,0,nonexistent,40045
telephone,may,fri,17,999,0,nonexistent,8261
cellular,may,tue,3,999,0,nonexistent,32898
telephone,may,fri,1,999,0,nonexistent,6867
cellular,aug,thu,2,999,0,nonexistent,4617
cellular,jul,thu,1,999,0,nonexistent,32628
telephone,aug,wed,1,999,1,failure,30736
cellular,jul,fri,10,999,0,nonexistent,12107
telephone,may,mon,1,999,0,nonexistent,40369
cellular,aug,fri,1,999,0,nonexistent,39140
cellular,jul,mon,2,999,0,nonexistent,10089
cellular,may,wed,3,999,0,nonexistent,31157
cellular,oct,wed,1,999,0,nonexistent,24375
telephone,jun,fri,5,999,0,nonexistent,15242
cellular,jun,tue,1,4,1,success,35115
telephone,jun,fri,1,999,0,nonexistent,35520
cellular,aug,fri,4,999,0,nonexistent,2082
cellular,nov,thu,1,999,1,failure,30978
cellular,may,wed,3,999,0,nonexistent,118
telephone,jun,tue,2,999,0,nonexistent,17373
cellular,apr,wed,1,999,0,nonexistent,25200
cellular,jul,thu,24,999,0,nonexistent,12709
cellular,aug,mon,1,999,0,nonexistent,33633
cellular,may,tue,2,999,0,nonexistent,11551
cellular,mar,mon,2,999,0,nonexistent,2521
cellular,may,thu,6,999,1,failure,15825
cellular,nov,thu,7,999,0,nonexistent,34015
cellular,may,wed,2,999,0,nonexistent,39397
cellular,jul,tue,2,999,0,nonexistent,13601
telephone,may,mon,1,999,0,nonexistent,5590
cellular,jul,tue,2,999,0,nonexistent,14082
cellular,nov,mon,2,19,2,failure,36010
cellular,nov,tue,1,999,0,nonexistent,29157
telephone,oct,fri,3,999,0,nonexistent,7740
cellular,nov,thu,3,3,2,success,15521
cellular,aug,tue,3,999,0,nonexistent,25000
cellular,jul,wed,1,999,0,nonexistent,2092
cellular,aug,tue,2,999,0,nonexistent,27208
telephone,may,tue,1,999,0,nonexistent,10696
cellular,jul,tue,2,999,0,nonexistent,31824
telephone,oct,wed,2,999,0,nonexistent,39088
cellular,nov,tue,1,999,1,failure,38983
cellular,aug,mon,10,999,0,nonexistent,29595
cellular,apr,wed,2,999,0,nonexistent,11443
cellular,jul,fri,5,999,0,nonexistent,13264
cellular,nov,thu,6,999,0,nonexistent,13764
cellular,may,tue,4,999,0,nonexistent,11179
cellular,mar,mon,2,999,0,nonexistent,17268
cellular,may,wed,2,999,1,failure,16214
cellular,may,mon,2,999,1,failure,34322
telephone,may,wed,2,999,0,nonexistent,20569
cellular,nov,wed,1,999,0,nonexistent,12274
cellular,oct,tue,1,999,2,failure,334
cellular,jul,tue,1,999,0,nonexistent,24198
cellular,jul,thu,6,999,0,nonexistent,25116
cellular,may,wed,2,3,5,success,1130
telephone,may,fri,1,999,0,nonexistent,34291
cellular,jul,thu,6,999,0,nonexistent,28201
telephone,may,fri,2,999,0,nonexistent,7375
telephone,may,tue,1,999,0,nonexistent,39458
cellular,nov,wed,1,999,1,failure,35811
telephone,jun,fri,7,999,0,nonexistent,12314
telephone,may,tue,2,999,0,nonexistent,26412
cellular,apr,fri,2,999,0,nonexistent,35498
cellular,nov,fri,1,999,0,nonexistent,217
telephone,jun,tue,9,999,0,nonexistent,33455
telephone,may,mon,1,999,0,nonexistent,35699
cellular,aug,wed,1,999,0,nonexistent,23630
cellular,apr,thu,2,999,0,nonexistent,21645
cellular,may,fri,2,999,1,failure,23542
telephone,may,mon,2,999,0,nonexistent,23603
cellular,jul,fri,2,999,0,nonexistent,7715
cellular,aug,wed,3,999,3,failure,18076
cellular,nov,fri,1,999,0,nonexistent,30895
cellular,aug,thu,1,999,0,nonexistent,32053
cellular,may,thu,2,999,1,failure,19619
cellular,sep,wed,1,3,1,success,24352
telephone,may,thu,1,999,0,nonexistent,33621
telephone,jun,tue,2,999,0,nonexistent,10519
telephone,jul,fri,1,999,0,nonexistent,35279
telephone,may,thu,6,999,0,nonexistent,27256
cellular,apr,mon,1,999,0,nonexistent,136
cellular,nov,mon,1,999,0,nonexistent,22475
cellular,may,tue,1,999,1,failure,12607
cellular,jul,thu,1,999,0,nonexistent,16460
cellular,jul,tue,2,999,0,nonexistent,30211
cellular,may,fri,5,999,1,failure,22037
cellular,aug,wed,1,999,0,nonexistent,20806
cellular,aug,thu,6,999,0,nonexistent,24285
cellular,may,mon,2,999,0,nonexistent,8820
telephone,jun,fri,2,999,0,nonexistent,26147
cellular,aug,wed,1,999,0,nonexistent,14044
cellular,nov,fri,1,999,0,nonexistent,32500
telephone,may,fri,2,999,0,nonexistent,8516
telephone,may,fri,2,999,0,nonexistent,13031
cellular,jul,wed,2,999,0,nonexistent,32987
telephone,may,thu,4,999,0,nonexistent,37815
cellular,may,tue,1,999,0,nonexistent,9931
telephone,jun,tue,1,999,0,nonexistent,32350
cellular,jul,thu,1,999,0,nonexistent,2701
cellular,may,fri,1,999,0,nonexistent,2789
telephone,may,mon,1,999,0,nonexistent,9977
telephone,aug,wed,7,999,0,nonexistent,1742
cellular,jul,tue,2,999,0,nonexistent,13109
cellular,sep,fri,2,999,0,nonexistent,20167
cellular,jul,thu,2,999,0,nonexistent,30779
telephone,may,tue,1,999,0,nonexistent,6611
telephone,may,wed,2,999,0,nonexistent,39528
telephone,may,mon,3,999,0,nonexistent,21147
telephone,jun,mon,1,999,0,nonexistent,16709
cellular,jul,tue,2,999,0,nonexistent,24638
telephone,jun,mon,1,999,0,nonexistent,1550
cellular,aug,tue,1,999,0,nonexistent,5149
telephone,apr,fri,1,999,0,nonexistent,6657
telephone,may,tue,2,999,0,nonexistent,21548
cellular,jul,tue,5,999,0,nonexistent,25741
telephone,jul,fri,2,999,0,nonexistent,1541
telephone,may,thu,3,999,0,nonexistent,6676
telephone,nov,wed,2,999,1,failure,31829
cellular,may,fri,1,999,0,nonexistent,30352
cellular,may,fri,3,999,0,nonexistent,17348
telephone,may,thu,1,999,0,nonexistent,29953
cellular,apr,thu,1,999,1,failure,17270
cellular,nov,mon,1,999,0,nonexistent,10244
cellular,jul,mon,4,999,0,nonexistent,12895
telephone,jun,thu,3,999,0,nonexistent,31229
cellular,oct,fri,1,999,0,nonexistent,2981
telephone,may,mon,1,999,0,nonexistent,37900
cellular,aug,mon,1,999,0,nonexistent,3373
cellular,jul,thu,1,999,0,nonexistent,9547
cellular,may,fri,1,999,1,failure,4093
telephone,may,tue,1,999,0,nonexistent,4568
cellular,aug,mon,1,999,0,nonexistent,37777
telephone,jun,mon,2,999,0,nonexistent,25322
cellular,jul,mon,1,999,0,nonexistent,30393
telephone,may,fri,2,999,0,nonexistent,6811
telephone,may,tue,1,999,0,nonexistent,4464
cellular,aug,mon,10,999,0,nonexistent,13014
telephone,may,wed,1,999,0,nonexistent,16462
telephone,may,fri,11,999,0,nonexistent,27645
cellular,aug,mon,1,999,0,nonexistent,38116
cellular,may,fri,2,999,1,failure,38360
cellular,may,fri,1,999,0,nonexistent,11101
telephone,may,mon,2,999,0,nonexistent,25927
cellular,jul,thu,1,999,0,nonexistent,36929
cellular,apr,mon,1,999,0,nonexistent,7991
cellular,apr,thu,1,2,1,success,22333
telephone,jun,thu,2,999,0,nonexistent,16186
cellular,may,thu,2,999,0,nonexistent,25976
cellular,nov,wed,5,999,0,nonexistent,10534
telephone,jun,fri,2,999,0,nonexistent,16230
cellular,jul,tue,4,999,0,nonexistent,28095
telephone,may,thu,1,999,0,nonexistent,17071
telephone,jul,mon,1,999,0,nonexistent,7246
cellular,may,tue,2,999,0,nonexistent,27844
telephone,may,tue,3,999,0,nonexistent,12330
telephone,may,thu,1,999,0,nonexistent,24063
cellular,jul,thu,1,999,0,nonexistent,31970
telephone,may,mon,3,999,0,nonexistent,31338
cellular,nov,mon,4,999,1,failure,38438
cellular,may,mon,7,999,1,failure,22243
cellular,aug,thu,2,999,0,nonexistent,13039
cellular,may,tue,1,999,1,failure,41106
cellular,apr,mon,1,999,1,failure,39166
telephone,may,mon,1,999,0,nonexistent,22435
cellular,may,tue,1,999,1,failure,35503
cellular,may,tue,1,999,1,failure,1754
telephone,oct,mon,2,999,0,nonexistent,38474
cellular,may,mon,4,999,1,failure,31489
cellular,aug,mon,2,999,1,failure,34330
telephone,jul,mon,3,999,0,nonexistent,30309
cellular,aug,mon,2,999,0,nonexistent,26302
telephone,may,tue,3,999,0,nonexistent,2879
cellular,aug,mon,3,999,0,nonexistent,39755
telephone,jun,wed,2,999,0,nonexistent,11340
cellular,aug,tue,2,999,0,nonexistent,17928
cellular,jul,mon,2,999,0,nonexistent,40515
telephone,may,mon,2,999,0,nonexistent,36689
cellular,dec,wed,3,999,0,nonexistent,36301
cellular,jul,mon,15,999,0,nonexistent,35808
cellular,may,tue,2,999,0,nonexistent,8748
telephone,jun,thu,1,999,0,nonexistent,17437
telephone,nov,mon,4,999,0,nonexistent,32889
telephone,may,tue,1,999,0,nonexistent,23668
telephone,nov,tue,1,999,0,nonexistent,3773
cellular,jun,mon,2,999,1,failure,16056
telephone,may,thu,2,999,0,nonexistent,20440
cellular,aug,fri,5,999,0,nonexistent,2735
cellular,may,fri,6,999,1,failure,18770
cellular,aug,tue,9,999,0,nonexistent,21857
cellular,may,fri,2,999,0,nonexistent,14394
cellular,jul,tue,4,999,0,nonexistent,29582
telephone,may,wed,2,999,0,nonexistent,36964
cellular,jul,tue,1,999,0,nonexistent,16329
telephone,nov,thu,2,999,0,nonexistent,698
cellular,apr,mon,1,999,1,failure,1804
telephone,jun,wed,2,999,0,nonexistent,21453
cellular,may,mon,1,999,1,failure,21587
cellular,aug,wed,1,999,0,nonexistent,3564
cellular,may,tue,1,999,1,failure,33160
cellular,may,tue,1,999,1,failure,36217
cellular,may,tue,1,999,1,failure,39566
cellular,may,mon,1,999,0,nonexistent,12265
telephone,jun,tue,4,999,0,nonexistent,10494
cellular,aug,mon,1,999,0,nonexistent,17177
cellular,jul,thu,1,14,1,success,36894
cellular,apr,mon,1,999,1,failure,15707
cellular,may,wed,1,999,0,nonexistent,23268
cellular,nov,tue,2,999,1,failure,4644
cellular,jul,mon,3,999,0,nonexistent,2556
cellular,oct,tue,1,999,1,failure,27376
cellular,aug,tue,1,999,0,nonexistent,10493
telephone,jul,tue,1,999,0,nonexistent,39840
cellular,jul,thu,1,999,0,nonexistent,25401
telephone,jun,tue,1,999,0,nonexistent,25206
cellular,jul,mon,3,999,0,nonexistent,26455
cellular,jul,mon,2,999,0,nonexistent,5047
cellular,may,wed,4,999,0,nonexistent,27274
cellular,may,fri,2,999,1,failure,39897
cellular,jul,wed,1,999,0,nonexistent,2533
telephone,may,thu,3,999,0,nonexistent,37848
cellular,aug,mon,3,999,0,nonexistent,8252
cellular,sep,thu,1,9,3,failure,7921
cellular,aug,tue,2,999,0,nonexistent,30126
cellular,apr,thu,2,999,0,nonexistent,3553
telephone,jun,fri,3,999,0,nonexistent,13484
cellular,apr,thu,1,999,1,failure,33279
telephone,jun,fri,3,999,0,nonexistent,33553
telephone,may,tue,1,999,0,nonexistent,23225
cellular,aug,mon,1,999,0,nonexistent,39482
cellular,aug,mon,1,999,0,nonexistent,36527
telephone,jun,fri,3,999,0,nonexistent,5472
cellular,sep,fri,1,999,0,nonexistent,14411
telephone,may,fri,1,999,0,nonexistent,19158
cellular,jul,mon,1,999,0,nonexistent,35791
cellular,may,mon,2,999,0,nonexistent,35886
telephone,jun,thu,1,999,0,nonexistent,18022
telephone,jun,mon,1,999,0,nonexistent,11533
cellular,may,tue,1,999,0,nonexistent,19278
cellular,aug,thu,5,999,0,nonexistent,9987
telephone,jun,thu,6,999,0,nonexistent,37062
cellular,aug,wed,1,999,0,nonexistent,20275
telephone,jul,thu,1,5,1,success,19844
cellular,nov,fri,1,999,0,nonexistent,27979
cellular,may,tue,1,999,0,nonexistent,38624
telephone,may,thu,1,999,1,failure,30991
cellular,jul,tue,2,999,0,nonexistent,2440
telephone,may,mon,1,999,0,nonexistent,19486
cellular,apr,tue,4,999,0,nonexistent,26925
telephone,may,mon,1,999,0,nonexistent,18971
cellular,aug,wed,6,999,0,nonexistent,27323
telephone,may,tue,2,999,0,nonexistent,22684
cellular,aug,thu,9,999,0,nonexistent,12261
cellular,apr,wed,2,999,1,failure,22716
telephone,jul,tue,3,999,0,nonexistent,22292
cellular,jun,fri,2,999,0,nonexistent,2826
cellular,may,thu,1,999,0,nonexistent,37365
telephone,may,wed,2,999,0,nonexistent,40439
telephone,may,fri,3,999,0,nonexistent,6305
cellular,may,fri,3,999,0,nonexistent,15646
cellular,aug,mon,2,999,0,nonexistent,12818
cellular,aug,wed,3,999,0,nonexistent,12148
telephone,jul,fri,5,999,0,nonexistent,35477
telephone,may,mon,6,999,0,nonexistent,16773
cellular,aug,fri,4,999,0,nonexistent,5336
cellular,jul,tue,20,999,0,nonexistent,5309
cellular,may,mon,2,999,1,failure,17069
cellular,may,thu,3,999,1,failure,25732
cellular,jul,tue,3,999,0,nonexistent,33277
telephone,jun,mon,2,999,0,nonexistent,12122
telephone,may,fri,1,999,0,nonexistent,27591
telephone,jun,mon,2,999,0,nonexistent,20690
telephone,nov,fri,2,999,0,nonexistent,2113
telephone,may,mon,7,999,0,nonexistent,15023
cellular,may,fri,1,999,1,failure,9481
cellular,jul,thu,2,999,0,nonexistent,18185
cellular,jul,wed,1,999,0,nonexistent,1195
cellular,jul,wed,1,999,0,nonexistent,12158
cellular,may,mon,6,999,0,nonexistent,31852
telephone,aug,mon,2,999,1,failure,4860
telephone,jun,wed,1,999,0,nonexistent,5963
cellular,may,thu,1,999,1,failure,4025
cellular,jul,wed,6,999,0,nonexistent,36304
cellular,jul,wed,2,999,0,nonexistent,33228
cellular,apr,tue,2,999,0,nonexistent,14199
cellular,aug,tue,11,999,0,nonexistent,5417
cellular,jul,tue,7,999,0,nonexistent,39443
telephone,jun,fri,1,999,0,nonexistent,8971
telephone,jun,wed,2,999,0,nonexistent,38379
cellular,jul,wed,2,999,0,nonexistent,3931
telephone,may,mon,2,999,0,nonexistent,8073
telephone,jun,tue,3,999,0,nonexistent,6558
telephone,may,tue,1,999,0,nonexistent,733
telephone,may,thu,1,999,0,nonexistent,31439
telephone,jul,mon,4,999,0,nonexistent,38943
cellular,may,thu,15,999,1,failure,32501
telephone,aug,fri,1,999,0,nonexistent,19099
telephone,may,fri,2,999,0,nonexistent,30045
telephone,jun,thu,1,999,0,nonexistent,1520
telephone,jul,thu,1,12,1,success,8673
telephone,jun,mon,2,999,0,nonexistent,7602
cellular,may,mon,5,999,1,failure,9907
cellular,aug,wed,1,999,0,nonexistent,4922
cellular,jul,thu,2,999,0,nonexistent,38817
cellular,nov,fri,2,999,0,nonexistent,38925
cellular,may,tue,2,999,0,nonexistent,16355
cellular,aug,thu,3,999,0,nonexistent,3481
cellular,nov,thu,1,999,0,nonexistent,33657
cellular,may,thu,3,999,0,nonexistent,16687
cellular,may,wed,5,999,0,nonexistent,23065
cellular,nov,thu,1,6,3,failure,2819
cellular,nov,tue,1,7,2,failure,38721
cellular,jul,fri,3,999,0,nonexistent,9524
cellular,may,wed,11,999,1,failure,38843
