contact,month,day_of_week,campaign,pdays,previous_stat,poutcome,id
cellular,aug,tue,1,999,0,nonexistent,22287
cellular,apr,thu,1,999,0,nonexistent,31388
telephone,jun,thu,2,999,0,nonexistent,38180
telephone,may,fri,1,999,0,nonexistent,1425
cellular,aug,thu,1,999,0,nonexistent,30603
cellular,jul,wed,3,999,0,nonexistent,20009
cellular,mar,fri,3,999,0,nonexistent,10800
cellular,aug,thu,1,999,0,nonexistent,35101
telephone,may,tue,2,999,0,nonexistent,23211
cellular,may,wed,2,999,0,nonexistent,26973
cellular,jun,mon,1,999,1,failure,40156
telephone,may,mon,1,999,0,nonexistent,8924
cellular,aug,tue,27,999,0,nonexistent,8026
telephone,may,mon,1,999,0,nonexistent,10918
cellular,aug,mon,1,999,0,nonexistent,19698
cellular,aug,fri,1,999,0,nonexistent,25655
telephone,may,fri,5,999,0,nonexistent,36446
cellular,aug,fri,1,999,0,nonexistent,24568
cellular,nov,tue,1,999,0,nonexistent,39293
cellular,jul,thu,2,999,0,nonexistent,5167
cellular,oct,thu,1,999,0,nonexistent,32197
cellular,jul,thu,1,999,0,nonexistent,34113
telephone,may,wed,3,999,0,nonexistent,16607
telephone,jun,tue,4,999,0,nonexistent,33309
telephone,jun,thu,1,999,0,nonexistent,15108
telephone,jun,mon,2,999,0,nonexistent,31984
telephone,apr,tue,2,999,1,failure,2772
cellular,aug,mon,1,999,0,nonexistent,8775
telephone,jun,fri,4,999,0,nonexistent,19965
telephone,jun,mon,9,999,0,nonexistent,17431
cellular,apr,thu,2,999,1,failure,26870
cellular,aug,thu,7,999,0,nonexistent,15475
cellular,apr,fri,3,999,1,failure,2388
cellular,apr,tue,1,999,0,nonexistent,19472
cellular,aug,wed,2,999,0,nonexistent,34538
telephone,may,mon,3,999,0,nonexistent,763
telephone,may,wed,3,999,0,nonexistent,28890
telephone,jul,mon,3,999,0,nonexistent,25005
cellular,may,wed,1,999,0,nonexistent,25325
telephone,may,mon,1,999,0,nonexistent,39627
telephone,may,fri,6,999,0,nonexistent,980
cellular,nov,fri,1,999,0,nonexistent,1168
telephone,sep,mon,1,999,0,nonexistent,33356
cellular,jul,fri,1,999,0,nonexistent,23338
cellular,may,mon,9,999,1,failure,38276
cellular,sep,fri,2,999,0,nonexistent,16020
telephone,jul,mon,1,999,1,failure,29948
cellular,jul,wed,2,999,0,nonexistent,28325
cellular,may,fri,1,999,1,failure,27865
telephone,may,wed,1,999,0,nonexistent,29956
cellular,jun,wed,1,999,1,failure,27748
cellular,may,mon,2,15,3,failure,14387
cellular,aug,wed,3,999,0,nonexistent,29894
cellular,dec,tue,3,6,2,success,40595
telephone,may,tue,1,999,0,nonexistent,7391
cellular,aug,tue,1,999,1,failure,17067
cellular,may,tue,2,999,0,nonexistent,16763
telephone,may,fri,2,999,0,nonexistent,21544
telephone,jun,tue,2,999,0,nonexistent,1818
cellular,aug,mon,2,999,0,nonexistent,18457
telephone,jun,wed,6,999,0,nonexistent,41045
cellular,jun,thu,1,3,2,success,7833
telephone,jul,tue,1,999,0,nonexistent,124
telephone,may,thu,2,999,0,nonexistent,1908
cellular,nov,tue,3,999,0,nonexistent,36197
cellular,jul,wed,2,999,0,nonexistent,37869
cellular,jul,mon,1,999,0,nonexistent,37845
telephone,jun,thu,2,999,0,nonexistent,31763
cellular,aug,mon,1,999,0,nonexistent,5661
cellular,aug,fri,1,999,0,nonexistent,20543
cellular,aug,wed,3,999,0,nonexistent,33626
cellular,nov,fri,1,999,0,nonexistent,36412
cellular,sep,tue,1,999,1,failure,14651
cellular,jun,thu,1,999,0,nonexistent,3983
telephone,jun,fri,3,999,0,nonexistent,18819
telephone,may,thu,1,999,0,nonexistent,6278
cellular,jul,thu,1,999,0,nonexistent,8213
cellular,mar,fri,3,999,1,failure,30625
cellular,oct,tue,2,6,1,success,30273
cellular,apr,wed,2,999,0,nonexistent,29586
cellular,jul,fri,2,999,0,nonexistent,19254
cellular,apr,thu,2,999,0,nonexistent,2071
cellular,may,mon,6,999,0,nonexistent,23557
telephone,jul,tue,1,999,0,nonexistent,18495
cellular,aug,tue,1,999,0,nonexistent,30326
cellular,mar,tue,1,999,0,nonexistent,40817
telephone,may,mon,6,999,0,nonexistent,26182
cellular,jul,mon,2,999,0,nonexistent,9816
cellular,aug,mon,3,999,0,nonexistent,20390
cellular,jul,fri,2,999,0,nonexistent,342
telephone,jun,wed,1,999,2,failure,13877
cellular,nov,wed,3,999,0,nonexistent,11247
cellular,jul,thu,1,999,0,nonexistent,36959
cellular,aug,mon,2,999,0,nonexistent,31712
cellular,aug,wed,3,999,0,nonexistent,34445
cellular,aug,fri,1,999,0,nonexistent,7610
telephone,jun,tue,1,999,0,nonexistent,10652
telephone,may,mon,1,999,0,nonexistent,40879
cellular,jul,wed,6,999,0,nonexistent,3011
telephone,may,tue,12,999,0,nonexistent,16122
cellular,jul,fri,1,999,0,nonexistent,7361
telephone,jun,fri,1,999,0,nonexistent,12732
cellular,jun,mon,1,999,0,nonexistent,31860
cellular,jul,tue,6,999,0,nonexistent,23174
cellular,jun,tue,2,3,1,success,4233
cellular,may,mon,2,999,1,failure,25704
telephone,may,wed,1,999,0,nonexistent,30796
telephone,jun,wed,2,999,0,nonexistent,15884
cellular,oct,fri,2,999,1,failure,28352
cellular,aug,tue,1,999,2,failure,28958
cellular,aug,thu,2,999,1,failure,7867
cellular,nov,mon,2,999,1,failure,5131
telephone,apr,wed,23,999,0,nonexistent,5380
cellular,aug,mon,2,999,0,nonexistent,2109
cellular,apr,thu,2,999,0,nonexistent,35411
telephone,may,wed,3,999,0,nonexistent,10218
cellular,nov,wed,1,999,0,nonexistent,23490
telephone,jun,fri,21,999,0,nonexistent,2295
cellular,aug,wed,1,999,0,nonexistent,36214
cellular,jul,fri,7,999,0,nonexistent,1811
telephone,jul,thu,1,999,0,nonexistent,31859
cellular,aug,wed,1,999,0,nonexistent,36884
cellular,nov,mon,2,999,1,failure,39017
cellular,aug,thu,6,999,0,nonexistent,22147
telephone,may,wed,1,999,0,nonexistent,27790
cellular,mar,mon,3,999,0,nonexistent,4691
telephone,may,fri,4,999,0,nonexistent,34584
telephone,may,wed,26,999,0,nonexistent,18596
cellular,aug,wed,1,999,0,nonexistent,16504
telephone,oct,fri,1,999,0,nonexistent,14392
telephone,nov,mon,5,999,1,failure,28592
telephone,aug,fri,1,999,0,nonexistent,11429
cellular,nov,tue,2,999,0,nonexistent,38875
cellular,may,mon,1,999,0,nonexistent,18977
telephone,may,wed,2,999,0,nonexistent,9561
cellular,jul,wed,2,999,0,nonexistent,7613
telephone,jun,tue,1,999,0,nonexistent,8752
cellular,nov,mon,1,999,0,nonexistent,8063
cellular,may,fri,1,999,1,failure,8967
telephone,may,fri,1,999,0,nonexistent,29533
telephone,jun,mon,1,999,0,nonexistent,4816
cellular,jul,fri,3,999,0,nonexistent,29750
cellular,aug,fri,2,999,0,nonexistent,31007
telephone,aug,mon,1,999,0,nonexistent,16744
telephone,apr,mon,6,999,1,failure,39323
cellular,aug,wed,1,999,0,nonexistent,37068
telephone,may,tue,1,999,0,nonexistent,155
cellular,jul,tue,2,13,2,success,1008
cellular,may,fri,4,999,0,nonexistent,14591
telephone,jun,mon,2,999,0,nonexistent,31771
cellular,mar,thu,1,6,2,success,29658
telephone,may,tue,4,999,0,nonexistent,36724
cellular,may,tue,3,999,0,nonexistent,20649
cellular,apr,thu,3,999,2,failure,37227
cellular,may,mon,1,999,0,nonexistent,39491
cellular,jul,mon,20,999,0,nonexistent,18848
cellular,may,thu,4,999,0,nonexistent,39686
telephone,may,fri,4,999,0,nonexistent,29288
telephone,may,mon,1,999,0,nonexistent,323
cellular,jul,mon,5,999,0,nonexistent,28301
cellular,nov,thu,2,999,1,failure,19882
telephone,may,wed,5,999,0,nonexistent,36411
telephone,may,tue,2,999,0,nonexistent,6214
telephone,jul,tue,1,999,0,nonexistent,32722
cellular,jul,fri,1,999,0,nonexistent,33680
telephone,jun,fri,1,999,0,nonexistent,34054
telephone,may,wed,3,999,0,nonexistent,26947
telephone,may,fri,3,999,0,nonexistent,36666
telephone,may,tue,1,999,0,nonexistent,36890
telephone,nov,mon,1,999,0,nonexistent,651
telephone,may,tue,1,999,0,nonexistent,35274
telephone,may,mon,4,999,0,nonexistent,37577
cellular,apr,thu,1,999,0,nonexistent,12408
cellular,may,fri,2,999,0,nonexistent,3913
telephone,may,fri,1,999,0,nonexistent,11398
telephone,jun,tue,31,999,0,nonexistent,35209
telephone,jul,fri,1,999,0,nonexistent,34151
telephone,may,fri,4,999,0,nonexistent,22267
cellular,jul,thu,3,999,0,nonexistent,36570
cellular,apr,fri,5,999,0,nonexistent,15511
telephone,jun,mon,3,999,0,nonexistent,2661
cellular,jul,wed,2,999,0,nonexistent,28241
telephone,may,thu,1,999,0,nonexistent,7569
cellular,aug,fri,1,999,0,nonexistent,33904
telephone,may,tue,1,999,0,nonexistent,3595
cellular,apr,thu,2,6,1,success,25794
telephone,jun,fri,1,999,0,nonexistent,14326
telephone,may,thu,1,999,0,nonexistent,4024
telephone,jun,wed,1,999,0,nonexistent,33889
cellular,nov,thu,4,999,0,nonexistent,24205
cellular,aug,tue,1,999,0,nonexistent,1660
cellular,jul,tue,3,999,0,nonexistent,19513
cellular,may,fri,1,999,1,failure,40076
cellular,apr,thu,1,2,1,success,20734
cellular,may,thu,2,999,0,nonexistent,2019
cellular,jul,fri,3,999,0,nonexistent,1458
telephone,may,fri,2,999,0,nonexistent,40798
telephone,may,fri,2,999,0,nonexistent,35925
cellular,aug,tue,1,999,0,nonexistent,8785
telephone,aug,wed,12,999,0,nonexistent,18168
telephone,may,fri,6,999,0,nonexistent,4610
telephone,may,mon,11,999,0,nonexistent,994
telephone,jun,fri,8,999,0,nonexistent,31014
telephone,may,thu,3,999,0,nonexistent,19082
telephone,jul,wed,9,999,0,nonexistent,40197
cellular,apr,mon,6,999,0,nonexistent,33920
telephone,may,mon,3,999,0,nonexistent,4820
cellular,aug,wed,1,999,0,nonexistent,27045
telephone,may,mon,4,999,0,nonexistent,31583
cellular,mar,thu,3,999,0,nonexistent,24091
telephone,may,tue,1,999,0,nonexistent,13989
cellular,jun,tue,4,999,0,nonexistent,27766
cellular,may,tue,1,999,1,failure,5904
telephone,may,thu,2,999,0,nonexistent,13332
cellular,aug,thu,1,999,0,nonexistent,5148
telephone,may,fri,1,999,0,nonexistent,32390
cellular,apr,thu,1,999,1,failure,24911
cellular,may,fri,3,999,0,nonexistent,29479
telephone,may,tue,4,999,0,nonexistent,21066
telephone,may,tue,1,999,0,nonexistent,8615
telephone,apr,tue,1,999,0,nonexistent,10952
cellular,may,thu,1,999,0,nonexistent,30876
cellular,may,thu,1,999,0,nonexistent,26783
cellular,may,mon,5,999,1,failure,28997
cellular,jul,mon,3,999,0,nonexistent,14430
telephone,jun,fri,1,999,0,nonexistent,11361
cellular,nov,fri,2,999,0,nonexistent,10561
cellular,may,tue,2,999,1,failure,34817
telephone,may,thu,3,999,0,nonexistent,34356
cellular,jul,thu,3,999,0,nonexistent,33541
cellular,jul,mon,2,999,0,nonexistent,29700
telephone,may,mon,4,999,0,nonexistent,31059
telephone,may,fri,2,999,0,nonexistent,15201
cellular,nov,mon,2,999,1,failure,39921
cellular,aug,thu,3,999,0,nonexistent,27976
telephone,may,fri,7,999,0,nonexistent,17464
cellular,may,wed,2,999,0,nonexistent,38460
cellular,nov,thu,6,999,1,failure,8307
cellular,jul,tue,3,999,0,nonexistent,26901
telephone,may,wed,1,999,0,nonexistent,39875
cellular,nov,thu,3,999,0,nonexistent,6311
cellular,nov,tue,2,999,2,failure,17882
cellular,oct,fri,3,6,1,success,38566
cellular,nov,thu,4,999,0,nonexistent,5353
telephone,may,wed,3,999,0,nonexistent,3134
cellular,may,wed,3,999,0,nonexistent,40133
telephone,nov,thu,9,999,0,nonexistent,30654
telephone,may,tue,1,999,0,nonexistent,36340
telephone,may,wed,3,999,0,nonexistent,19658
cellular,apr,mon,3,999,0,nonexistent,8605
cellular,may,tue,2,999,0,nonexistent,17742
cellular,may,thu,1,999,1,failure,5124
cellular,jul,fri,2,999,0,nonexistent,18820
telephone,jun,tue,3,999,0,nonexistent,3337
telephone,jun,thu,1,999,0,nonexistent,29145
telephone,jun,mon,1,999,0,nonexistent,17024
cellular,apr,fri,1,999,0,nonexistent,25662
cellular,jul,wed,2,999,0,nonexistent,21232
cellular,jul,thu,4,999,0,nonexistent,30879
cellular,apr,fri,2,999,0,nonexistent,13615
cellular,nov,fri,2,999,0,nonexistent,14264
cellular,nov,mon,1,999,0,nonexistent,30399
cellular,apr,mon,2,999,1,failure,7179
telephone,may,thu,2,999,0,nonexistent,28803
cellular,may,thu,1,999,0,nonexistent,29521
telephone,may,fri,4,999,0,nonexistent,37924
cellular,nov,thu,1,999,0,nonexistent,5572
cellular,oct,tue,1,999,0,nonexistent,36965
telephone,jun,wed,2,999,0,nonexistent,8253
cellular,sep,tue,1,999,0,nonexistent,3197
cellular,oct,wed,1,999,0,nonexistent,35379
telephone,may,wed,1,999,0,nonexistent,288
cellular,jul,thu,4,999,0,nonexistent,17076
cellular,may,wed,1,999,1,failure,30033
telephone,may,wed,1,999,0,nonexistent,40170
cellular,aug,wed,1,999,0,nonexistent,6907
telephone,jun,wed,1,999,0,nonexistent,24738
cellular,apr,fri,1,999,1,failure,17627
cellular,nov,mon,1,999,0,nonexistent,8117
cellular,aug,tue,1,999,0,nonexistent,6369
telephone,may,fri,1,999,0,nonexistent,10847
telephone,aug,mon,1,999,0,nonexistent,41075
cellular,jul,thu,2,999,0,nonexistent,22205
telephone,may,wed,1,999,0,nonexistent,35821
cellular,jul,tue,6,999,0,nonexistent,6998
cellular,may,tue,6,999,0,nonexistent,15101
cellular,nov,fri,4,999,0,nonexistent,9031
telephone,may,tue,1,999,0,nonexistent,29030
cellular,may,fri,2,999,1,failure,18442
cellular,aug,mon,4,999,0,nonexistent,9911
telephone,may,thu,2,999,0,nonexistent,2919
telephone,may,mon,3,999,0,nonexistent,37732
cellular,mar,thu,1,999,0,nonexistent,39955
telephone,may,tue,1,999,0,nonexistent,6139
cellular,nov,fri,2,999,0,nonexistent,34428
cellular,aug,mon,1,999,0,nonexistent,12505
cellular,may,thu,1,999,1,failure,30101
telephone,jun,mon,3,999,0,nonexistent,25874
cellular,oct,wed,1,999,0,nonexistent,374
cellular,nov,thu,1,999,0,nonexistent,34505
cellular,jul,fri,1,999,0,nonexistent,18065
telephone,may,thu,2,999,0,nonexistent,22178
telephone,may,tue,2,999,0,nonexistent,36981
cellular,apr,wed,3,999,0,nonexistent,24084
cellular,may,mon,1,999,0,nonexistent,16461
telephone,may,tue,3,999,0,nonexistent,697
cellular,may,wed,3,999,2,failure,1315
cellular,jul,tue,3,999,2,failure,11969
telephone,jun,wed,8,999,0,nonexistent,30106
cellular,may,mon,4,999,0,nonexistent,24347
telephone,may,fri,3,999,0,nonexistent,13514
cellular,aug,wed,1,999,0,nonexistent,3084
cellular,oct,fri,2,999,0,nonexistent,14611
cellular,may,mon,7,999,0,nonexistent,3127
cellular,jul,wed,1,999,0,nonexistent,341
telephone,jun,thu,2,999,0,nonexistent,25485
cellular,nov,wed,1,999,1,failure,34248
cellular,may,tue,2,999,0,nonexistent,21204
cellular,aug,wed,1,999,0,nonexistent,20947
cellular,aug,mon,5,999,0,nonexistent,19149
cellular,nov,wed,2,999,1,failure,21271
cellular,nov,tue,1,999,0,nonexistent,5739
telephone,may,tue,2,999,0,nonexistent,14174
cellular,aug,thu,2,999,0,nonexistent,8233
telephone,jun,wed,2,999,0,nonexistent,4355
cellular,oct,mon,1,999,0,nonexistent,31255
telephone,may,mon,2,999,0,nonexistent,34758
cellular,oct,wed,1,9,2,failure,19048
cellular,nov,mon,1,999,0,nonexistent,40344
cellular,jul,tue,9,999,0,nonexistent,4903
cellular,nov,thu,1,999,0,nonexistent,7107
telephone,may,wed,4,999,0,nonexistent,26370
telephone,may,fri,1,999,0,nonexistent,25385
telephone,jun,fri,7,999,0,nonexistent,23889
cellular,jul,thu,3,999,0,nonexistent,9474
cellular,aug,thu,6,999,0,nonexistent,19076
cellular,nov,tue,1,999,1,failure,26456
telephone,jun,mon,1,999,0,nonexistent,38641
cellular,oct,wed,1,999,1,failure,29053
cellular,jul,wed,1,999,0,nonexistent,16023
cellular,jun,fri,1,999,0,nonexistent,17840
cellular,aug,wed,3,999,0,nonexistent,37554
cellular,aug,wed,1,999,0,nonexistent,34282
telephone,may,thu,1,999,0,nonexistent,20229
cellular,sep,thu,1,999,0,nonexistent,16073
cellular,nov,thu,2,999,0,nonexistent,14444
cellular,aug,thu,1,999,0,nonexistent,37810
cellular,may,fri,2,999,1,failure,11889
cellular,may,wed,4,999,0,nonexistent,1038
telephone,may,thu,3,999,0,nonexistent,36826
cellular,jul,mon,2,999,0,nonexistent,26930
cellular,aug,thu,1,999,0,nonexistent,9324
cellular,may,wed,3,999,0,nonexistent,35848
cellular,nov,wed,2,999,0,nonexistent,12437
telephone,jul,tue,3,999,0,nonexistent,3698
cellular,aug,fri,1,999,0,nonexistent,39732
telephone,may,fri,1,999,0,nonexistent,34147
telephone,jul,thu,1,999,0,nonexistent,13595
telephone,may,wed,1,999,0,nonexistent,7289
cellular,aug,tue,4,999,0,nonexistent,15001
telephone,may,wed,1,999,0,nonexistent,28999
cellular,may,tue,1,999,0,nonexistent,406
cellular,aug,tue,2,999,0,nonexistent,25425
cellular,may,thu,2,999,0,nonexistent,35400
cellular,apr,mon,4,999,0,nonexistent,15500
telephone,may,wed,2,999,0,nonexistent,13053
telephone,jun,thu,1,999,0,nonexistent,15164
telephone,jun,mon,2,999,0,nonexistent,33095
telephone,may,mon,2,999,0,nonexistent,19923
cellular,apr,thu,1,999,0,nonexistent,39988
telephone,may,tue,1,999,0,nonexistent,12945
telephone,may,wed,3,999,0,nonexistent,26354
cellular,jul,tue,1,999,0,nonexistent,32609
cellular,may,mon,1,999,0,nonexistent,2266
cellular,nov,thu,1,999,0,nonexistent,11984
telephone,may,tue,1,999,0,nonexistent,40799
cellular,may,thu,2,999,0,nonexistent,2515
cellular,aug,tue,2,999,0,nonexistent,13603
telephone,jun,wed,2,999,0,nonexistent,14180
telephone,may,thu,3,999,0,nonexistent,33700
cellular,jul,thu,2,999,0,nonexistent,16127
cellular,jul,mon,16,999,0,nonexistent,35875
telephone,may,mon,2,999,0,nonexistent,35284
cellular,may,thu,2,999,0,nonexistent,30363
cellular,nov,tue,3,999,0,nonexistent,11188
telephone,may,wed,1,999,0,nonexistent,19674
cellular,jul,thu,10,999,0,nonexistent,21532
cellular,jul,wed,2,999,0,nonexistent,8869
cellular,may,fri,6,999,0,nonexistent,19491
telephone,may,mon,1,999,0,nonexistent,573
cellular,may,thu,3,999,0,nonexistent,37639
telephone,jun,wed,2,999,0,nonexistent,18227
cellular,may,thu,1,999,0,nonexistent,12058
cellular,oct,mon,1,999,0,nonexistent,20431
telephone,jun,mon,4,999,0,nonexistent,40594
telephone,may,fri,2,999,0,nonexistent,24701
cellular,nov,mon,1,999,1,failure,22886
cellular,apr,thu,2,999,0,nonexistent,1072
cellular,may,mon,2,999,0,nonexistent,7138
cellular,nov,thu,2,999,0,nonexistent,5505
cellular,nov,wed,1,999,0,nonexistent,11597
telephone,may,wed,1,999,0,nonexistent,5986
cellular,nov,wed,1,999,1,failure,38135
telephone,jun,mon,2,999,0,nonexistent,40954
cellular,aug,mon,1,999,0,nonexistent,9487
telephone,jun,thu,6,999,0,nonexistent,2158
cellular,may,thu,1,999,0,nonexistent,20823
cellular,may,fri,1,999,0,nonexistent,30368
telephone,may,tue,4,999,0,nonexistent,31238
cellular,aug,thu,3,999,0,nonexistent,8060
cellular,jun,tue,1,999,0,nonexistent,20279
cellular,aug,mon,1,999,0,nonexistent,39818
telephone,jun,tue,2,999,0,nonexistent,19205
cellular,aug,thu,1,999,0,nonexistent,5566
cellular,aug,mon,2,999,0,nonexistent,25436
telephone,jun,mon,2,999,0,nonexistent,35793
cellular,aug,tue,4,999,0,nonexistent,13204
cellular,apr,wed,3,999,0,nonexistent,27202
cellular,nov,tue,3,999,0,nonexistent,25871
cellular,jul,thu,1,999,0,nonexistent,5326
cellular,jul,fri,11,999,0,nonexistent,36104
cellular,aug,thu,1,999,0,nonexistent,2257
cellular,jul,tue,3,999,0,nonexistent,9256
cellular,aug,wed,1,999,0,nonexistent,22947
cellular,jul,tue,4,999,0,nonexistent,36323
telephone,may,tue,2,999,0,nonexistent,35199
cellular,apr,tue,2,999,0,nonexistent,13629
